algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation,prior_std,tau_scale
RWM,30,1.7594261169433594,29.41024563909767,16.715817365603233,1.277325221772336,,0.08491666666666667,42,funnel,centred,,
HMC,30,2.4424917697906494,3955.5526430216555,1619.4742974960745,1.1235826800692994,122.0,,42,funnel,centred,,
NUTS,30,3.2568607330322266,11235.747200621796,3449.870326558608,1.4108229453586518,4.0,,42,funnel,centred,,
RWM,100,1.9840593338012695,9.023895350389752,4.5481983308940785,1.5482078374095867,,0.021833333333333333,42,funnel,centred,,
HMC,100,2.799514055252075,2518.2856054428157,899.5438335872412,1.4149611207864166,0.0,,42,funnel,centred,,
NUTS,100,3.5705273151397705,5602.684804173291,1569.147722359315,1.2051033115712486,0.0,,42,funnel,centred,,
RWM,200,1.5221929550170898,4.9825805680513975,3.2732910447581576,2.6852673093841575,,0.007166666666666667,42,funnel,centred,,
HMC,200,3.049997329711914,2995.8757948649445,982.2552189407714,1.2035750657948616,0.0,,42,funnel,centred,,
NUTS,200,3.173938751220703,12971.956165719304,4087.021578702571,1.2855517695842869,0.0,,42,funnel,centred,,
RWM,500,1.6528828144073486,4.841659792608715,2.9292214489777497,2.822940689358191,,0.008,42,funnel,centred,,
HMC,500,2.4155232906341553,1698.8666478567795,703.3120543461084,1.2661917434819727,0.0,,42,funnel,centred,,
NUTS,500,3.1390867233276367,14505.591358825004,4620.959099673465,1.2487403342575996,0.0,,42,funnel,centred,,
RWM,2,1.2660162448883057,93.33548701415637,73.72376728261564,1.0475701959689534,,0.37983333333333336,123,funnel,centred,,
HMC,2,2.4217560291290283,5335.764307582606,2203.2625266144523,1.0068649522925621,631.0,,123,funnel,centred,,
NUTS,2,3.0565364360809326,1124.890033144016,368.027686457532,1.00149970675563,484.0,,123,funnel,centred,,
RWM,5,1.616706371307373,94.15371269596912,58.23797961520394,1.0589521236216057,,0.30041666666666667,123,funnel,centred,,
HMC,5,2.505688190460205,4884.823960279746,1949.4939469633605,1.0127621462210707,451.0,,123,funnel,centred,,
NUTS,5,3.1699652671813965,5782.347740136035,1824.104446821735,1.0154354071715384,72.0,,123,funnel,centred,,
RWM,10,1.5556089878082275,61.300887710519234,39.40635994710278,1.1033239237752683,,0.28600000000000003,123,funnel,centred,,
HMC,10,2.3798227310180664,1413.9596865486228,594.1449621937782,1.0378170932410313,188.0,,123,funnel,centred,,
NUTS,10,3.1727190017700195,6640.04428785026,2092.85609098879,1.047469215949056,31.0,,123,funnel,centred,,
RWM,30,1.805539846420288,43.705594004184945,24.206385747086575,1.297688902605869,,0.14675,123,funnel,centred,,
HMC,30,2.537708044052124,5853.948703117651,2306.785730075659,1.0679597002444514,32.0,,123,funnel,centred,,
NUTS,30,3.1288280487060547,10076.49553854828,3220.5334974274074,1.132824207356815,0.0,,123,funnel,centred,,
RWM,100,1.817119836807251,10.475482586998789,5.764882631739144,1.4378431555259608,,0.02541666666666667,123,funnel,centred,,
